Code,Code+B1,Definition,Keywords,Notes
BM-6500.1500,Clothing,Programs that pay for or provide new or secondhand clothing. Included are clothing exchange programs.,CLOTHING,2015 Jul 24: SL added to list as it is used in database.
BM-6500.6500-250,Food Preparation Facilities,"Programs that provide kitchen facilities which homeless people and others in need can use to prepare and serve food. Also included are collective/community kitchen programs that provide facilities where groups of people can plan a menu, purchase ingredients, prepare one or more meals and package the food to be taken home, frozen and used over a period of time; and membership organizations that provide prepared hot meals that participating soup kitchens and meal programs can serve to their clients.",COMMUNITY KITCHENS,
BM-7000.0500,Automotive Repair,"Programs that pay for or provide maintenance and repair services for people whose automobiles, trucks, trailers or other motorized vehicles have mechanical or structural problems. Also included are work experience programs that provide automobile repairs for the general public.",REPAIRS/MAINTENANCE * cars,
BM-7000.1000,Bicycle Repair,Programs that pay for or provide maintenance and repair services for people whose bicycles are not functioning properly.,RECYCLING * bicycling * equipment,
BM-8500,Thrift Shops,"Organizations that offer new or secondhand furniture, appliances, clothing, toys and other material goods at lower than retail prices, and which often use the proceeds from sales to support other services to the community. Thrift shops accept direct donations from the public of new and reusable goods. Also included are other types of resale shops that sell secondhand but reusable musical instruments, salvaged building materials, office equipment, sports equipment, books, CDs and other material goods.",STORES,
,,,STORES * clothing,
,,,STORES * furniture/household goods,
,,,STORES * toys,
,,,STORES * visual arts/crafts,
BT-4500.6500-170,Disability Related Transportation,"Programs that provide door-to-door (or curb-to-curb) transportation for purposes of shopping, banking, social events, medical appointments, getting to and from work, and similar activities for people with disabilities who need special accommodations and are unable to utilize other available means of transportation. Also included are programs that provide transportation for youngsters with disabilities who have no other means of accessing necessary specialized services and activities.",TRANSPORTATION * disability,
BT-4500.6500-180,Drinking/Drug Impaired Driver Transportation,Programs that provide transportation home for people who are inebriated or have taken drugs and are unable to drive and/or for people who fear riding with someone who has been drinking or taking drugs.,TRANSPORTATION * driving (impaired),
BT-4500.6500-280,General Paratransit/Community Ride Programs,Programs that provide flexibly scheduled and routed door-to-door (or curb-to-curb) transportation services for the general public. Patrons generally have no private transportation and are unable to use the fixed-route public transportation system; or live in a rural area not served by a public transit system.,TRANSPORTATION * safety * Youth,
BT-4500.6500-500,Medical Appointments Transportation,"Programs that provide nonemergency transportation for individuals who require routine medical services and who, because of financial problems or their physical condition, are unable to use other available means of local transportation.",TRANSPORTATION * health care (medical),
BT-4500.6500-800,Senior Ride Programs,"Programs that provide door-to-door (or curb-to-curb) transportation for purposes of medical appointments, shopping, banking, social events, and other similar activities for older adults who need special accommodations and are unable to utilize other available means of transportation.",TRANSPORTATION * Seniors,
BT-8300,Transportation Expense Assistance,"Programs that provide immediate cash, bus tokens, loans, loan/insurance payment support or other forms of financial assistance for people who otherwise have no means of transportation. Transportation expense assistance programs may have age, income, disability, need or other eligibility requirements.",FINANCIAL ASSISTANCE * transportation,
BT-8400,Transportation Organizations,"Organizations that are responsible for operating and/or managing the public and/or private transportation services that are available in their communities, and/or for providing information and/or services that enable residents to make effective use the transportation system.",ADMINISTRATION * transportation,
BT-8750.8500,Tourist Information,"Tourist bureaus, information centres and other community organizations that make available information about local points of interest, cultural events, recreational activities, hotels, restaurants, medical and dental services and other community resources.",INFORMATION AND REFERRAL * travel/tourism,
DD-1500.0050,Accountant Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the licensing, incompetence, negligence, quality of service, excessive fees, fraud, misrepresentation, unprofessional conduct or other inappropriate business practices of accountants.",ADVOCACY * accounting * complaints,
DD-1500.0100,Advertising Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding unfair, false or misleading advertising of consumer products or services on radio or television, in printed ads or in verbal sales presentations.",ADVOCACY * advertising * complaints,
DD-1500.0200,Airport Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding travellers' facilities, security, safety, unethical or improper conduct of personnel or other inappropriate business practices of airports.",ADVOCACY * airport * complaints * noise,
DD-1500.0650,Automobile Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the companies that manufacture, sell, service or repair automobiles.",ADVOCACY * business/industry * cars * complaints,
DD-1500.0750,Banking Institution Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the quality of service, unethical or improper conduct of personnel or other inappropriate business practices of national or provincial banks or chartered commercial banks. Included are complaints regarding errors in computing interest, late charges or impounds, improper foreclosures on real estate loans, failure to meet loan commitments, noncompliance with the terms of the contract loan agreement or other similar problems.",ADVOCACY * banking * complaints,
DD-1500.1930,Correctional Facility Complaints,"Programs that accept and, where possible, attempt to resolve complaints about jails, prisons or other correctional facilities which may focus on treatment by correctional facility staff, policies regarding contact with family, friends or other supportive people outside, working or living conditions, food and other necessities or other problems associated with confinement.",ADVOCACY * complaints * correctional facilities * Inmates,
DD-1500.2250,Debt Consolidation Service Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding organizations that claim to manage an individual’s debt through debt consolidation, debt negotiation and settlement or a debt elimination plan but take the person’s money and fail to deliver promised services.",ADVOCACY * business/industry * complaints * debt/bankruptcy,
DD-1500.4000,Gambling Establishment Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the licensing, unethical or improper conduct of personnel or other business practices of casinos, card clubs, race tracks, jai alai operations, telephone or Internet gambling concerns and other organizations that offer legalized gambling.",ADVOCACY * complaints * gambling,
DD-1500.4150,Government Complaints/Government Ombudsman Offices,"Programs such as governmental, departmental or nonprofit ombudsman offices that provide assistance for people who want to register complaints about or have other issues which relate to the activities, actions or lack of action by public officials or civil service employees in local, county, provincial or federal government offices or the agencies they regulate and/or fund. Also included are programs that handle complaints about the availability and quality of services provided by any of these levels of government. The program provides an objective, neutral and independent review of complaints; offers reasonable remedies when complaints are substantiated; and uses information from the complaints and the investigations they trigger to identify and resolve problems within the agency or department and improve services.",ADVOCACY * complaints * government (federal),
,,,ADVOCACY * complaints * government (municipal),
,,,ADVOCACY * complaints * government (provincial),
,,,OMBUDSPERSON,
DD-1500.4280,Health Facility Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the licensing; incompetence of staff; cleanliness and safety of facilities; treatment of patients; quality of care; excessive fees; charges for services not rendered; unethical, improper or unprofessional conduct of personnel; or other inappropriate business practices of organizations that provide health care services.",ADVOCACY * complaints * residential care,
,,,ADVOCACY * community living support * complaints * housing,
,,,ADVOCACY * complaints * residential programs,
DD-1500.4800,Insurance Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the licensing, services, unethical or improper conduct of personnel or other inappropriate business practices of companies that sell insurance or settle insurance claims.",ADVOCACY * cars * complaints * insurance,
DD-1500.4820,Internet Service Provider Complaints,"Programs that provide assistance for consumers who want to register complaints regarding the availability, security measures, incompetence, negligence, quality of service, excessive fees, misrepresentation, fraud, unprofessional conduct or other inappropriate business practices of internet service providers.",ADVOCACY * complaints * media,
DD-1500.5200,Law Enforcement Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the quality of service, incompetence, availability, unethical or improper conduct of peace officers or other law enforcement officials, or other problems with law enforcement agencies.",ADVOCACY * complaints * police services,
DD-1500.5250,Lawyer Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the licensing, incompetence, negligence, quality of service, excessive fees, fraud, misrepresentation, unprofessional conduct or other inappropriate business practices of individuals who are licensed to practice the law.",ADVOCACY * complaints * legal services,
DD-1500.6050,Motion Picture Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the quality of motion picture entertainment.",ADVOCACY * complaints * film/video,
DD-1500.6200,Newspaper Complaints,"Programs that accept and, where possible, attempt to resolve complaints about the conduct of the press in gathering and publishing news, opinion and advertising. Also included are organizations that handle complaints from members of the press about the conduct of individuals and organizations toward the press.",ADVOCACY * complaints * media,
DD-1500.7230,Practitioner Complaints,"Programs that accept and, where possible, attempt to resolve regarding the licensing, incompetence, negligence, violations of laws relating to the use and prescription of dangerous drugs and narcotics, quality of service, excessive fees, unprofessional conduct or other inappropriate business practices of individuals who are licensed to practice in the health, mental health and veterinary science fields.",ADVOCACY * acupuncture * complaints,
,,,ADVOCACY * addiction (gambling) * complaints * counselling,
,,,ADVOCACY * chinese medicine * complaints,
,,,ADVOCACY * chiropractic * complaints,
,,,ADVOCACY * complaints * counselling,
,,,ADVOCACY * complaints * dental health * health care (medical),
,,,ADVOCACY * complaints * massage therapy,
,,,ADVOCACY * complaints * midwifery,
,,,ADVOCACY * complaints * naturopathy,
,,,ADVOCACY * complaints * nursing care,
,,,ADVOCACY * complaints * occupational therapy,
,,,ADVOCACY * complaints * optometry,
,,,ADVOCACY * complaints * paramedical services,
,,,ADVOCACY * complaints * pharmacy,
,,,ADVOCACY * complaints * physicians,
,,,ADVOCACY * complaints * physiotherapy,
,,,ADVOCACY * complaints * psychology,
,,,ADVOCACY * complaints * social work,
DD-1500.7400,Radio Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding companies that manufacture, sell, service or repair radios or handle radio programming.",ADVOCACY * complaints * media,
DD-1500.9150,Teacher Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the certification or accreditation, incompetence, unprofessional conduct, refusal to obey laws regulating the duties of people serving in the public school system or other inappropriate practices of teachers.",ADVOCACY * complaints * education (k-12) * Parents,
,,,ADVOCACY * complaints * education (post-secondary) * Students,
DD-1500.9300,Television Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding companies that manufacture, sell, service or repair television sets or handle the programming for regular, cable or satellite television.",ADVOCACY * complaints * media,
DD-1500.9650,Utility Service Complaints,"Programs that accept and, where possible, attempt to resolve complaints regarding the rates, services, equipment, unethical or improper conduct of personnel or other inappropriate business practices of companies that provide electricity, water, natural gas or telephone services. ",ADVOCACY * complaints * media,
DD-2100,Consumer Protection Agencies,"Agencies established by federal, provincial, county or city officials, business or industry associations, the media or the private sector to provide consumer education and information and/or to handle consumer complaints regarding unfair or fraudulent business or credit practices, unsafe or poor quality goods, incompetent services or other similar problems; and to provide solutions through mediation, arbitration or public pressure.",ADVOCACY * business/industry * complaints,
,,,INFORMATION AND REFERRAL * business/industry,
,,,REGULATION * business/industry,
DF-4500.1000,Business Registration/Licensing,"Programs that register newly formed businesses according to the legal status under which they will operate (e.g., for-profit and nonprofit corporations, limited liability companies, general and limited partnerships, franchises and sole proprietorships) as well as record and reserve their legal name; register business opportunities; and/or issue licences or permits which provide written authorization for the operation of a business within a specific local jurisdiction.",CERTIFICATION AND LICENSING * Business/Industry,
,,,REGISTRIES * business/industry,
,,,REGISTRIES * cooperatives,
,,,REGISTRIES * nonprofit agencies,
DF-4500.2000,Facility Licensing,"Programs that establish and enforce health, safety and program standards for facilities that offer community care or health services, that review applications for licences, issue or deny licences, inspect facilities for compliance with requirements and revoke licences or bring disciplinary action for noncompliance.",CERTIFICATION AND LICENSING * day care * Service Providers,
DF-4500.6300,Occupational/Professional Licensing and Certification,"Programs that establish and enforce licensing and certification standards for the trades and professions that are subject to regulation, review applications for licences, administer examinations to demonstrate competency, issue or deny licences and/or revoke licences and certificates or take disciplinary action for noncompliance with standards.",CERTIFICATION AND LICENSING * day programs * Service Providers,
,,,CERTIFICATION AND LICENSING * residential care * Service Providers,
,,,CERTIFICATION AND LICENSING * residential programs * Service Providers,
,,,CERTIFICATION AND LICENSING * accounting * Service Providers,
,,,CERTIFICATION AND LICENSING * acupuncture * Service Providers,
,,,CERTIFICATION AND LICENSING * addiction (alcohol and drug) * counselling * Service Providers,
,,,CERTIFICATION AND LICENSING * addiction (alcohol and drug) * substitution therapy * Physicians,
,,,CERTIFICATION AND LICENSING * addiction (alcohol and drug) * substitution therapy * Service Providers,
,,,CERTIFICATION AND LICENSING * alcoholic beverages,
,,,CERTIFICATION AND LICENSING * alcoholic beverages * Workers,
,,,CERTIFICATION AND LICENSING * architecture * Service Providers,
,,,CERTIFICATION AND LICENSING * art therapy * Service Providers,
,,,CERTIFICATION AND LICENSING * Business/Industry,
,,,CERTIFICATION AND LICENSING * camps (day) * Service Providers,
,,,CERTIFICATION AND LICENSING * camps (residential) * Service Providers,
,,,CERTIFICATION AND LICENSING * chinese medicine * Service Providers,
,,,CERTIFICATION AND LICENSING * chiropractic * Service Providers,
,,,CERTIFICATION AND LICENSING * construction * regulation * Service Providers,
,,,CERTIFICATION AND LICENSING * counselling * Service Providers,
,,,CERTIFICATION AND LICENSING * credit * Service Providers,
,,,CERTIFICATION AND LICENSING * crime * driving (impaired) * Offenders,
,,,CERTIFICATION AND LICENSING * debt/bankruptcy * Service Providers,
,,,CERTIFICATION AND LICENSING * dental health * health care (medical) * Service Providers,
,,,CERTIFICATION AND LICENSING * driving,
,,,CERTIFICATION AND LICENSING * education (k-12) * Service Providers,
,,,CERTIFICATION AND LICENSING * film/video * Service Providers,
,,,CERTIFICATION AND LICENSING * food * Workers,
,,,CERTIFICATION AND LICENSING * funerals * Service Providers,
,,,CERTIFICATION AND LICENSING * health care (medical) * Service Providers,
,,,CERTIFICATION AND LICENSING * hearing * Service Providers,
,,,CERTIFICATION AND LICENSING * housing,
,,,CERTIFICATION AND LICENSING * information and referral * Service Providers,
,,,CERTIFICATION AND LICENSING * legal services * Service Providers,
,,,CERTIFICATION AND LICENSING * massage therapy * Service Providers,
,,,CERTIFICATION AND LICENSING * midwifery * Service Providers,
,,,CERTIFICATION AND LICENSING * naturopathy * Service Providers,
,,,CERTIFICATION AND LICENSING * notary services * Service Providers,
,,,CERTIFICATION AND LICENSING * nursing care * Service Providers,
,,,CERTIFICATION AND LICENSING * occupational therapy * Service Providers,
,,,CERTIFICATION AND LICENSING * optometry * Service Providers,
,,,CERTIFICATION AND LICENSING * paramedical services * Service Providers,
,,,CERTIFICATION AND LICENSING * pharmacy * Service Providers,
,,,CERTIFICATION AND LICENSING * physicians,
,,,CERTIFICATION AND LICENSING * physiotherapy * Service Providers,
,,,CERTIFICATION AND LICENSING * podiatry * Service Providers,
,,,CERTIFICATION AND LICENSING * psychology * Service Providers,
,,,CERTIFICATION AND LICENSING * residential programs * Service Providers,
,,,CERTIFICATION AND LICENSING * shiatsu * Service Providers,
,,,CERTIFICATION AND LICENSING * social work * Service Providers,
,,,CERTIFICATION AND LICENSING * speech and language disorders * Service Providers,
,,,CERTIFICATION AND LICENSING * telemarketing * Service Providers,
,,,CERTIFICATION AND LICENSING * translation/interpretation * Service Providers,
,,,CERTIFICATION AND LICENSING * travel/tourism * Service Providers,
,,,CERTIFICATION AND LICENSING * vocation/career * Service Providers,
DF-7000.0700,Automobile Insurance,"Organizations that issue insurance policies which indemnify the holder against loss or damage to a motor vehicle caused by fire, windstorm, collision or other insurable hazards, and against legal liability for personal injuries or damage to property resulting from operation of the vehicle. Automobile insurance requirements are established at the provincial level and vary in terms of the type and level of coverage that may be necessary.",ADMINISTRATION * cars * insurance,
DF-7000.1200,Birth Certificates,"Programs that maintain and, where appropriate, provide copies of birth certificates, i.e., documents which certify the date and place of a person's birth as well as his/her parentage. Available in most jurisdictions are authorized copies which are required to obtain a driver’s licence, passport, Social Insurance card and other services related to an individual’s identity; and informational copies which cannot be used to establish a person’s identity. Only individuals designated by law have access to authorized copies of a person's birth certificate.",DOCUMENTS * birth,
DF-7000.1460,Citizenship Records,"Programs that maintain copies, and where appropriate, provide access to the official documentation associated with the process of becoming a citizen. Included are declarations of intention to become a citizen, petitions and oaths that document the second step in the citizenship process, and other ancillary documents such as official orders of the court granting or denying citizenship that are sometimes found with citizenship records.",DOCUMENTS * citizenship,
DF-7000.1700,Death Related Records/Permits,"Programs that issue, maintain and, where appropriate, provide access to or copies of documents that relate to an individual's death.",DOCUMENTS * death/dying,
DF-7000.1850,Driver Licences,"Programs that issue permits which provide written authorization for an individual to operate a motor vehicle on public roads and highways following successful completion of a written and/or driving examination and a vision test. These programs also renew driver licences that are about to expire, replace driver licences that are lost or stolen, and process name and address changes.",CERTIFICATION AND LICENSING * driving,
DF-7000.2180,First Nations Status Registration,"Programs that provide access to the official documentation which contains the names of individuals who belong to one of the recognized groups of First Nations peoples. Also included are programs that help First Nations individuals obtain and complete the ""Application for Registration of an Adult under the Indian Act"" that is required to confirm aboriginal status. Registration is generally through the Department of Indian and Northern Affairs (DIAND), although depending on the settlement situation, it might be obtained through formal Band membership. A Status Card can be obtained without being a registered Band member. Note that although the rights of Métis peoples are recognized under the Constitution Act of 1982, the Government of Canada neither maintains nor prepares lists of Métis individuals or claimants. Métis individuals need to contact their local or provincial/territorial Métis organization to confirm their status. The rights and benefits of Status for First Nations, Inuit and Métis individuals are dependent on differing provincial/territorial social legislation and any distinct Treaty/Settlement situation.",DOCUMENTS * status * Aboriginal,
DF-7000.3300,Identification Cards,Programs that issue documentation that is designed to prove the identity of the person carrying it.,DOCUMENTS * personal identity,
DF-7000.4950,Marriage Certificates,Programs that maintain copies of the instrument which certifies that a marriage between two people has taken place. The marriage certificate is executed by the individual officiating at the marriage and serves as evidence of the marriage.,CERTIFICATION AND LICENSING * marriage,
,,,DOCUMENTS * marriage,
DF-7000.6650,Passports,"Offices that issue passports, i.e., documents which identify citizens, which serve as written authorization from government authorities for citizens to travel abroad and which, in effect, request foreign powers to allow bearers to enter and pass freely and safely.",PASSPORTS,
,,,DOCUMENTS * citizenship,
,,,DOCUMENTS * travel/tourism,
DF-7000.8200,Social Insurance Number Cards,"The federally administered program that provides Social Insurance Number cards for people who need to register for employment or financial benefits, report their taxes and track their benefits. Also included are programs that replace Social Insurance cards when they are lost or stolen.",DOCUMENTS * social insurance,
DF-8000,Regulations/Standards,Programs that have regulatory and/or oversight responsibilities in enforcing the laws and standards established through consumer protection or fair trade legislation.,REGULATION * addiction (alcohol and drug) * Service Providers,
,,,REGULATION * advertising * food,
,,,REGULATION * air quality,
,,,REGULATION * alcoholic beverages,
,,,REGULATION * animals * business/industry * food,
,,,REGULATION * banking,
,,,REGULATION * business/industry,
,,,REGULATION * business/industry * cars,
,,,REGULATION * business/industry * food,
,,,REGULATION * business/industry * media,
,,,REGULATION * children * day care * financial assistance,
,,,REGULATION * construction * housing,
,,,REGULATION * consumer products * safety,
,,,REGULATION * credit * Service Providers,
,,,REGULATION * debt/bankruptcy * Service Providers,
,,,REGULATION * disability (mental health) * Service Providers,
,,,REGULATION * disability * financial assistance,
,,,REGULATION * divorce/separation * financial assistance,
,,,REGULATION * drugs * safety,
,,,REGULATION * education (k-12) * Service Providers,
,,,REGULATION * employment,
,,,REGULATION * environment,
,,,REGULATION * environmental health,
,,,REGULATION * environmental health * travel/tourism,
,,,REGULATION * equipment * health care (medical) * safety,
,,,REGULATION * film/video,
,,,REGULATION * financial assistance * Employment Insurance Recipients,
,,,REGULATION * financial assistance * Income Assistance Recipients,
,,,REGULATION * fishing/hunting,
,,,REGULATION * food * safety,
,,,REGULATION * funerals * Service Providers,
,,,REGULATION * gambling,
,,,REGULATION * health care (medical),
,,,REGULATION * housing * safety,
,,,REGULATION * insurance,
,,,REGULATION * media,
,,,REGULATION * pensions,
,,,REGULATION * privacy * rights,
,,,REGULATION * property (intellectual),
,,,REGULATION * property (real estate),
,,,REGULATION * smoking,
,,,REGULATION * telemarketing * Service Providers,
,,,REGULATION * tobacco,
,,,REGULATION * travel/tourism * Service Providers,
DM-1800,Debt Management,"Programs that provide assistance for individuals who are having difficulty meeting their financial obligations and, as a result, may be faced with bankruptcy or loss of their home or property.",MONEY MANAGEMENT/BUDGETING * debt/bankruptcy,
DM-6000,Personal Finances Administration,Programs that help people develop a plan for managing their money and that assume responsibility for investing the funds and/or making the payments on the individual's behalf in accordance with the plan.,MONEY MANAGEMENT/BUDGETING,
DT-8500,Tax Collection Agencies,"Programs that are responsible for the determination, assessment and collection of taxes, special assessments and other monies that are owed to local, provincial and federal jurisdictions by taxpayers. These groups prepare analyses of taxes, tax characteristics and tax proposals that serve as the basis for tax policy; ensure that taxpayers have the most current information regarding their tax obligations and their rights; review tax returns; pursue unpaid taxes; and respond to complaints from taxpayers.",ADMINISTRATION * taxes,
,,,TAXES,
DT-8700,Tax Information,"Programs that provide general information about the tax obligations of individuals, businesses, corporations and other entities, or details regarding specific tax credit, exemption, postponement or rebate programs for which they may be eligible.",INFORMATION AND REFERRAL * taxes,2015 Feb 25: SL changed this entry to 'tax information' as it's more useful than 'tax forms'
DT-8800,Tax Preparation Assistance,"Programs that provide tax preparation services for people who meet income and/or other eligibility criteria. The programs are staffed by agency personnel or trained volunteers and may be available during tax season or throughout the year. Services may include assistance in completing federal income tax returns, assistance with claiming federal, provincial and other tax benefits available to low-income taxpayers, correction of prior year returns and resolution of problems with the Canada Revenue Agency, and/or access to volunteers who can provide tax advice, planning and counselling. Most tax preparation assistance sites allow the people they assist to file their tax return information electronically.",FORM COMPLETION ASSISTANCE * taxes,
FC-1300,Canadian Courts,"Federal and provincial/territorial judicial bodies that resolve disputes and dispense justice in Canada according to the principles of law and equity. Court processes involve interpreting the laws; presiding over encounters between the prosecution and defence in criminal matters and plaintiffs and defendants in civil matters. The courts are responsible for examining evidence and the credibility of witnesses, instructing juries, and determining liability and damages in civil matters and guilt or acquittal and sentencing in criminal matters. They also have the power to grant restraining orders, injunctions or other restrictions in appropriate circumstances.",COURTS,
FF-0500.0150,Indigenous Sentencing Circles,"An alternative sentencing practice used largely in indigenous communities following conviction of an offender in court in which the judge, police, social workers, band officials, elders, victims and convicted person sit in a circle to consider an appropriate sentence. The sentence may include some form of restitution, community service and a program of counselling and treatment. The emphasis is not on the punishment of the guilty but on community reconciliation.",COMMUNITY CORRECTIONS (restorative justice) * Aboriginal,
